Vehicle Type,Status,Vehicle Make,Vehicle Model,Vehicle Model Year,Vehicle Color,Vehicle Fuel Source,Wheelchair Accessible,City,State,ZIP Code
Taxi,INACTIVE,,,,,Gasoline,N,CHICAGO,IL,60608
Taxi,INACTIVE,,,,,Gasoline,N,CHICAGO,IL,60608
Charter Sightseeing,ACTIVE,FREIGHTLINER,M2,2008,BLACK,Gasoline,N,CHICAGO,IL,60630
Taxi,INACTIVE,,,,,Gasoline,N,CHICAGO,IL,60608
Taxi,ACTIVE,TOYOTA,CAMRY,2012,WHITE/BLUE/STRIPES,Hybrid,N,CHICAGO,IL,60646
Taxi,ACTIVE,DODGE,CARAVAN,2013,WHITE/BLUE,Flex Fuel,N,CHICAGO,IL,60659
Medicar,INACTIVE,FORD,E150,2007,WHITE,Gasoline,N,CHICAGO,IL,60649
Taxi,ACTIVE,FORD,ESCAPE,2012,MAROON/BLUE/STRIPES,Hybrid,N,CHICAGO,IL,60616
Charter Sightseeing,ACTIVE,BOYERTOWN,TROLLEY,1984,RED/GREEN,Gasoline,N,CHICAGO,IL,60639
Livery,ACTIVE,LINCOLN,NAVIGATOR,2017,BLACK,Gasoline,N,CHICAGO,IL,60634
Charter Sightseeing,ACTIVE,FREIGHTLINER,TROLLEY,1999,BROWN,Gasoline,N,CHICAGO,IL,60639
Taxi,ACTIVE,FORD,ESCAPE,2012,MAROON/BLUE/STRIPES,Hybrid,N,CHICAGO,IL,60616
Taxi,ACTIVE,TOYOTA,CAMRY,2013,BLUE/WHITE,Hybrid,N,CHICAGO,IL,60657
Medicar,VIOLATION,FORD,E250,2010,WHITE,Gasoline,N,SKOKIE,IL,60077
Medicar,INACTIVE,FORD,E350,2010,WHITE,Gasoline,N,MOKENA,IL,60448
Taxi,SURRENDER,TOYOTA,CAMRY,2012,WHITE,Hybrid,N,CHICAGO,IL,60659
Taxi,ACTIVE,TOYOTA,PRIUS,2013,WHITE,Hybrid,N,CHICAGO,IL,60659
Medicar,RESERVED,FORD,E250,2010,WHITE,Gasoline,N,MOKENA,IL,60448
Taxi,SURRENDER,FORD,ESCAPE,2012,MAROON/GOLD/STRIPES,Hybrid,N,CHICAGO,IL,60616
Livery,ACTIVE,CHEVROLET,SUBURBAN,2016,BLACK,Gasoline,N,CHICAGO,IL,60647
Livery,INACTIVE,CHEVROLET,SUBURBAN,2015,BLACK,Gasoline,N,CHICAGO,IL,60656
Livery,ACTIVE,CADILLAC,XTS,2015,BLACK,Gasoline,N,CHICAGO,IL,60644
Taxi,SURRENDER,FORD,ESCAPE,2012,MAROON/BLUE/STRIPES,Hybrid,N,CHICAGO,IL,60616
Taxi,ACTIVE,TOYOTA,PRIUS,2012,BLACK/WHITE,Hybrid,N,CHICAGO,IL,60618
Taxi,VIOLATION,TOYOTA,CAMRY,2014,YELLOW,Hybrid,N,CHICAGO,IL,60618
Livery,RESERVED,LINCOLN,MKS,2015,BLACK,Gasoline,N,CHICAGO,IL,60610
Taxi,ACTIVE,FORD,ESCAPE,2011,GREEN,Hybrid,N,CHICAGO,IL,60618
Taxi,ACTIVE,VPG,MV-1,2012,YELLOW,Compressed Natural Gas,Y,CHICAGO,IL,60618
Charter Sightseeing,ACTIVE,BOYERTOWN,TROLLEY,1988,RED,Gasoline,N,CHICAGO,IL,60639
Charter Sightseeing,ACTIVE,BOYERTOWN,TROLLEY,1985,RED/WHITE,Gasoline,N,CHICAGO,IL,60639
Charter Sightseeing,ACTIVE,FREIGHTLINER,M2,2016,WHITE,Gasoline,N,CHICAGO,IL,60630
Taxi,SURRENDER,TOYOTA,CAMRY,2014,WHITE,Hybrid,N,CHICAGO,IL,60656
Taxi,ACTIVE,FORD,ESCAPE,2012,MAROON/BLUE/STRIPES,Hybrid,N,CHICAGO,IL,60616
Taxi,ACTIVE,TOYOTA,PRIUS,2013,WHITE/STARS/STRIPES,Hybrid,N,CHICAGO,IL,60618
Charter Sightseeing,ACTIVE,FREIGHTLINER,TROLLEY,1998,RED,Gasoline,N,CHICAGO,IL,60639
Taxi,ACTIVE,TOYOTA,PRIUS,2012,GRAY/WHITE,Hybrid,N,CHICAGO,IL,60626
Taxi,ACTIVE,FORD,ESCAPE,2012,MAROON/GOLD/STRIPES,Hybrid,N,CHICAGO,IL,60616
Taxi,ACTIVE,FORD,ESCAPE,2011,GREEN,Hybrid,N,CHICAGO,IL,60645
Taxi,ACTIVE,NISSAN,ALTIMA,2011,WHITE/BLUE/STRIPES,Hybrid,N,CHICAGO,IL,60646
Taxi,ACTIVE,TOYOTA,CAMRY,2013,GRAY/WHITE,Hybrid,N,CHICAGO,IL,60626
Charter Sightseeing,ACTIVE,FREIGHTLINER,M2,2009,BLACK,Gasoline,N,CHICAGO,IL,60630
Charter Sightseeing,ACTIVE,FREIGHTLINER,M2,2017,WHITE,Gasoline,N,CHICAGO,IL,60630
Taxi,ACTIVE,TOYOTA,PRIUS,2014,CREAM/GREEN,Hybrid,N,CHICAGO,IL,60618
Livery,RESERVED,LINCOLN,MKT,2013,BLACK,Gasoline,N,CHICAGO,IL,60656
